indices,x,y,z,H0,localized_index,localized_x,sigma_x_po,sigma_x_ne,localized_y,sigma_y_po,sigma_y_ne,localized_z,sigma_z_po,sigma_z_ne,localized_H0,sigma_H0_po,sigma_H0_ne,dx,dy,dz,dH0
2.0,110.9,88.7,3.1,70.0,2.0,110.26,1.79,2.09,89.93,1.67,1.62,3.12,0.38,0.37,70.71,7.23,6.03,0.64,-1.23,-0.02,-0.71
4.0,80.1,99.9,3.3,65.0,4.0,79.29,1.73,1.98,98.82,1.89,3.04,3.11,0.56,0.72,65.45850865,12.92,15.9,0.81,1.08,0.19,-0.45850865
3.0,72.4,57.2,2.9,73.0,3.0,72.17,0.51,2.73,57.12,0.74,1.82,3.01,0.54,0.54,75.95,13.42,12.74,0.23,0.08,-0.11,-2.95
3.0,71.3,56.9,3.44,79.5,3.0,71.16,0.52,0.78,56.57,0.62,0.62,3.48,0.48,0.46,80.44,8.13,8.36,0.14,0.33,-0.04,-0.94
5.0,75.4,69.2,3.4,66.0,5.0,75.86,2.17,1.17,69.29,0.85,2.29,3.4,0.7,0.7,65.8,13.61,13.45,-0.46,-0.09,0.0,0.2
1.0,70.0,75.0,3.12,74.1,1.0,69.36,2.85,1.99,75.05,4.4,1.89,2.99,0.5,0.43,70.44,11.18,9.83,0.64,-0.05,0.13,3.66
4.0,80.02,99.7,3.12,80.3,4.0,79.15,1.39,1.76,98.81,1.77,3.16,3.0,0.5,0.72,76.47,15.12,21.11,0.87,0.89,0.12,3.83
2.0,107.0,89.0,2.65,66.0,2.0,108.93,4.53,6.77,88.24,3.17,1.82,2.67,0.54,0.37,67.23,15.91,8.21,-1.93,0.76,-0.02,-1.23
3.0,56.0,71.3,3.6,78.0,3.0,72.65,0.53,3.44,57.79,0.93,2.44,3.58,0.71,0.59,77.67,14.96,11.65,-16.65,13.51,0.02,0.33
0.0,82.4,75.6,2.72,78.0,0.0,82.52,1.57,1.3,75.79,1.62,4.26,2.66,0.52,0.6,76.25,16.2,22.67,-0.12,-0.19,0.06,1.75
5.0,77.6,67.5,3.34,82.0,5.0,77.27,0.93,2.13,67.68,2.26,1.0,3.52,0.54,0.74,87.4,12.14,18.34,0.33,-0.18,-0.18,-5.4
2.0,110.0,88.6,3.54,82.0,2.0,109.82,1.85,1.87,89.79,2.04,1.67,3.59,0.39,0.37,83.04,6.68,6.34,0.18,-1.19,-0.05,-1.04
2.0,106.5,84.6,3.14,72.0,2.0,105.35,2.06,2.16,84.5,1.73,2.02,3.41,0.72,0.66,79.64,18.58,16.78,1.15,0.1,-0.27,-7.64
4.0,77.87952094526975,98.53320541586146,3.54,72.0,4.0,78.54,2.02,1.05,98.6,1.5,3.16,3.41,0.47,0.8,69.42,10.62,18.66,-0.66047905473,-0.066794584139,0.13,2.58
5.0,77.9,67.6,3.3,72.1,5.0,75.63,2.5,3.44,69.26,0.95,2.67,3.77,0.61,0.78,83.95,13.45,17.51,2.27,-1.66,-0.47,-11.85
