indices,x,y,z,localized_index,localized_x,sigma_x_po,sigma_x_ne,localized_y,sigma_y_po,sigma_y_ne,localized_z,sigma_z_po,sigma_z_ne,dx,dy,dz
2.0,110.9,88.7,3.1,2.0,110.2,1.9,1.88,90.06,1.56,1.68,3.18,1.15,0.73,0.7,1.36,0.08
4.0,80.1,99.9,3.3,4.0,79.02,2.05,3.47,98.94,1.01,1.54,3.23,1.16,1.25,1.08,0.96,0.07
3.0,72.4,57.2,2.9,5.0,77.33,1.5,5.47,70.24,0.4,5.57,1.95,0.92,0.16,4.93,13.04,0.95
3.0,71.3,56.9,3.44,3.0,71.24,0.46,0.92,56.68,0.62,0.72,3.48,0.65,0.5,0.06,0.22,0.04
1.0,70.0,75.0,3.12,1.0,68.51,1.54,0.97,75.07,1.17,1.36,4.11,1.55,1.26,1.49,0.07,0.99
0.0,81.6,72.0,2.6,0.0,81.8,0.36,0.4,75.27,1.68,3.45,2.54,0.84,0.52,0.2,3.27,0.06
2.0,110.0,88.6,3.54,2.0,109.98,1.9,1.86,89.96,1.87,1.78,3.61,1.1,0.69,0.02,1.36,0.07
5.0,77.6,67.5,3.34,5.0,77.31,0.79,1.71,67.71,2.23,0.72,3.24,0.53,0.42,0.29,0.21,0.1
4.0,77.88,98.53,3.54,4.0,78.10737326649195,1.99,2.68,98.81308485120752,0.88,1.22,3.0376524606859183,1.11,1.03,0.227373266492,0.283084851208,0.502347539314
1.0,67.5,81.0,3.0,1.0,67.55101820235605,4.47,2.78,80.75335696729972,0.92,8.81,3.842699239370141,1.85,1.42,0.051018202356,0.2466430327,0.84269923937
3.0,56.0,71.3,3.6,3.0,72.60289995798226,0.44,3.38,57.793987176499805,0.53,2.45,3.853251480464256,1.27,0.77,16.602899957982,13.5060128235,0.253251480464
2.0,106.5,84.6,3.14,2.0,105.98,1.73,1.59,85.15,1.71,1.51,3.73,2.11,1.73,0.52,0.55,0.59
5.0,75.4,69.2,3.4,5.0,76.0309575796474,2.01,0.91,69.18002132293336,0.93,2.37,3.628749172558999,0.69,0.52,0.630957579647,0.019978677067,0.228749172559
0.0,82.4,75.6,2.9,0.0,82.3395011144317,3.92,0.39,75.48293762087361,1.43,3.66,2.586777873511611,1.19,0.6,0.060498885568,0.117062379126,0.313222126488
1.0,68.2,80.8,3.42,1.0,71.83175611322255,2.73,6.25,72.69430258554674,5.26,1.18,3.879171085254959,1.82,1.39,3.631756113223,8.105697414453,0.459171085255
