indices,x,y,z,H0,localized_index,localized_x,localized_y,localized_z,localized_H0,localized_chi_sq,dz,dH0,dx,dy,dS
2.0,110.9,88.7,3.1,70.0,2.0,109.12331908,91.25433101,3.10023735,70.43038917,0.0328337335464441,0.00023735,0.43038917,1.77668092,2.55433101,3.111462999963
4.0,80.1,99.9,3.3,65.0,4.0,80.17826106,100.04109091,3.31867587,65.45850865,0.0151426257300535,0.01867587,0.45850865,0.07826106,0.14109091,0.161342611845
3.0,72.4,57.2,2.9,73.0,3.0,72.372211,57.24016367,2.91241268,73.23305644,0.0046291630224806,0.01241268,0.23305644,0.027789,0.04016367,0.048840033875
3.0,71.3,56.9,3.44,79.5,3.0,71.39553745,56.77492844,3.42746801,79.2219167,0.0028130329742422,0.01253199,0.2780833,0.09553745,0.12507156,0.157385829964
5.0,75.4,69.2,3.4,66.0,5.0,75.41740398902421,69.19371554617356,3.36186274676481,65.35307369837003,0.0120912460597518,0.038137253235,0.64692630163,0.017403989024,0.006284453826,0.018503869699
1.0,70.0,75.0,3.12,74.1,1.0,70.0079463322572,75.01339594638938,3.1274684433715203,74.35571099116152,0.0119023972943505,0.007468443372,0.255710991162,0.007946332257,0.013395946389,0.015575479961
4.0,80.02,99.7,3.12,80.3,4.0,79.99524811793691,99.5947778788313,3.112126452468889,79.81298150839257,0.0117346508918869,0.007873547531,0.487018491607,0.024751882063,0.105222121169,0.108094173982
2.0,107.0,89.0,2.65,66.0,2.0,107.01006344114244,88.97684189557505,2.640932592624196,66.02879821866071,0.0137219050706439,0.009067407376,0.028798218661,0.010063441142,0.023158104425,0.02525016135
3.0,56.0,71.3,3.6,78.0,3.0,72.60249616930605,57.79512360644919,3.520006128218281,75.93516265568188,0.0241312213506039,0.079993871782,2.064837344318,16.602496169306,13.504876393551,21.401508485546
0.0,82.4,75.6,2.72,78.0,0.0,82.52,75.79,2.66,76.25,0.0062,0.06,1.75,0.12,0.19,0.224722050542
5.0,77.6,67.5,3.34,82.0,5.0,77.55935647225388,67.45630639847818,3.35301497082328,82.3777834534702,0.0091975809613026,0.013014970823,0.37778345347,0.040643527746,0.043693601522,0.059674342574
2.0,110.0,88.6,3.54,82.0,2.0,111.41219568176014,90.32271346675434,3.543027923815369,82.22800007021135,0.0238429542027097,0.003027923815,0.228000070211,1.41219568176,1.722713466754,2.227563317196
2.0,106.5,84.6,3.14,72.0,2.0,105.25810261,85.54573261,3.18181263,72.93719321,0.0061497558590466,0.04181263,0.93719321,1.24189739,0.94573261,1.560999454486
4.0,77.87952094526975,98.53320541586146,3.54,72.0,4.0,77.90725707572062,98.60790078376937,3.551377257462857,72.38708783528311,0.0013878947200722,0.011377257463,0.387087835283,0.027736130451,0.074695367908,0.079678672926
5.0,77.9,67.6,3.3,72.1,5.0,75.8097456917497,69.846762538544,3.631233938329566,80.93077117481859,0.0120216360244831,0.33123393833,8.830771174819,2.09025430825,2.246762538544,3.068730189796
